"Date","Heure","Température","Humidité","Vitesse.du.vent","Visibilité","Température.du.point.de.rosée","Rayonnement.solaire","Précipitations","Chutes.de.neige","Saisons","Vacances","Jour.de.fonctionnement","Mois","Jour.de.la.semaine"
2017-12-01,"0",-5.2,37,2.2,2000,-17.6,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"1",-5.5,38,0.8,2000,-17.6,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"2",-6,39,1,2000,-17.7,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"3",-6.2,40,0.9,2000,-17.6,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"4",-6,36,2.3,2000,-18.6,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"5",-6.4,37,1.5,2000,-18.7,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"6",-6.6,35,1.3,2000,-19.5,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"7",-7.4,38,0.9,2000,-19.3,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"8",-7.6,37,1.1,2000,-19.8,0.01,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"9",-6.5,27,0.5,1928,-22.4,0.23,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"10",-3.5,24,1.2,1996,-21.2,0.65,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"11",-0.5,21,1.3,1936,-20.2,0.94,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"12",1.7,23,1.4,2000,-17.2,1.11,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"13",2.4,25,1.6,2000,-15.6,1.16,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"14",3,26,2,2000,-14.6,1.01,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"15",2.1,36,3.2,2000,-11.4,0.54,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"16",1.2,54,4.2,793,-7,0.24,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"17",0.8,58,1.6,2000,-6.5,0.08,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"18",0.6,66,1.4,2000,-5,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"19",0,77,1.7,2000,-3.5,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"20",-0.3,79,1.5,1913,-3.5,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"21",-0.8,81,0.8,1687,-3.6,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"22",-0.9,83,1.5,1380,-3.4,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-01,"23",-1.3,84,1,1265,-3.6,0,0,0,"Hiver","Non","Oui","12","Vendredi"
2017-12-02,"0",-1.8,87,1.1,994,-3.6,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"1",-2.2,86,0.6,990,-4.2,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"2",-2.9,86,1.5,1256,-4.9,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"3",-3.5,81,2.2,1221,-6.2,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"4",-3.8,79,2,1167,-6.9,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"5",-4,79,1.5,1202,-7.1,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"6",-4.3,82,2.1,1178,-6.9,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"7",-4.4,81,2.5,1276,-7.1,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"8",-4.2,79,2.1,1436,-7.3,0.01,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"9",-2.9,68,1.6,1487,-7.9,0.3,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"10",-0.4,57,1.6,1309,-7.8,0.8,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"11",1.9,49,1.8,1406,-7.7,1,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"12",4.3,41,1.3,1666,-7.8,1.09,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"13",6,36,1.8,1780,-7.9,1.12,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"14",7.3,35,1.3,1955,-7.1,0.99,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"15",7.6,41,2.3,1953,-4.8,0.74,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"16",6.4,48,2.6,1945,-3.8,0.22,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"17",6,51,2.5,1891,-3.3,0.06,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"18",5.5,53,1.5,1697,-3.3,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"19",5,52,2.3,1666,-4,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"20",4.6,51,1.2,1585,-4.6,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"21",4.1,55,1.2,1448,-4.1,0,0,0,"Hiver","Non","Oui","12","Samedi"
2017-12-02,"22",3.5,54,1.5,1446,-4.9,0,0,0,"Hiver","Non","Oui","12","Samedi"
